genus_species,dispersal_mode,fruit_color,fruit_length_width,seed_size,average_height,leaf_area,wood_density,spinescence,growth_rate,longevity
cryptocarya_crassifolia_1,Razafindratsima and Dunham 2016b,MBG voucher,MBG voucher,Razafindratsima unpbl. Data,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
cryptocarya_crassifolia_2,Razafindratsima et al. 2014 ,Razafindratsima unpbl. Data,MBG voucher,Razafindratsima and Dunham 2016b,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
cryptocarya_crassifolia_3,Razafindratsima and Dunham 2016b,Razafindratsima unpbl. Data,Razafindratsima and Dunham 2016b,Razafindratsima and Dunham 2016b,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
cryptocarya_crassifolia_4,local knowledge,MBG voucher,MBG voucher,MBG voucher,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
cryptocarya_sp_1,Razafindratsima and Dunham 2016b,,,,this study,,genus-level average,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
cryptocarya_sp_2,Razafindratsima and Dunham 2016b,,,,this study,,genus-level average,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
cryptocarya_sp_3,local knowledge,Dew and Wright 1998,,Dew and Wright 1998,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
cryptocarya_sp_4,"Dew and Wright 1998, Razafindratsima et al. 2014",Razafindratsima unpbl. Data,Razafindratsima and Dunham 2016b,Razafindratsima and Dunham 2016b,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
cryptocarya_thouvenotii,"Razafindratsima et al. 2014, Razafindratsima and Dunham 2016a",Razafindratsima unpbl. Data,Razafindratsima and Dunham 2016b,Razafindratsima and Dunham 2016b,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
ocotea_auriculiformis,local knowledge,MBG voucher,MBG voucher,Razafindratsima unpbl. Data,this study,Razafindratsima unpbl. Data,Brown unpb. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
ocotea_nervosa,Overdorff 1993; White et al. 1995; Dew & Wright 1998; Razafindratsima et al. 2014,Razafindratsima unpbl. Data,Razafindratsima and Dunham 2016b,Razafindratsima and Dunham 2016b,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
ocotea_racemosa_1,Razafindratsima and Dunham 2016b,"Hemingway 1996, MBG voucher",MBG voucher,Wright unpb. Data,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
ocotea_racemosa_2,Razafindratsima and Dunham 2016b,Razafindratsima unpbl. Data,Razafindratsima and Dunham 2016b,Razafindratsima and Dunham 2016b,this study,,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
ocotea_sp,Razafindratsima and Dunham 2016b,Razafindratsima unpbl. Data,Razafindratsima and Dunham 2016b,Razafindratsima and Dunham 2016b,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
potameia_rubra,Razafindratsima et al. 2014 ,Razafindratsima unpbl. Data,Razafindratsima and Dunham 2016b,Razafindratsima and Dunham 2016b,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
ephippiandra_madagascariensis,Razafindratsima et al. 2014 ,Razafindratsima unpbl. Data,Razafindratsima and Dunham 2016b,Razafindratsima unpbl. Data,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
tambourissa_perrieri,"Overdorff 1993, Razafindratsima et al. 2014 ",Razafindratsima unpbl. Data,Razafindratsima and Dunham 2016b,Razafindratsima and Dunham 2016b,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
tambourissa_thouvenotii,"Overdorff 1993, Razafindratsima and Dunham 2016a",Razafindratsima unpbl. Data,Razafindratsima unbpl.data,Razafindratsima unpbl. Data,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
cinnamosma_madagascariensis,Razafindratsima and Dunham 2016b,Razafindratsima unpbl. Data,Razafindratsima and Dunham 2016b,Razafindratsima unpbl. Data,this study,Razafindratsima unpbl. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data,Razafindratsima unpub. Data
